source_label,loc,returns,ifs,loops,comments
human,7,2,2,2,0
ai,26,3,2,2,0
human,14,1,3,1,0
ai,28,11,0,0,8
human,1,1,0,0,0
ai,30,9,0,1,0
human,6,2,1,1,0
ai,34,10,4,2,0
human,2,1,0,1,0
ai,30,3,0,3,0
human,8,2,1,1,0
ai,50,2,2,0,0
human,11,2,2,2,0
ai,22,3,0,8,0
human,1,1,1,1,0
ai,27,4,4,7,0
human,6,1,0,1,0
ai,37,4,3,0,2
human,9,1,1,1,0
ai,25,0,0,0,0
human,6,2,1,1,0
ai,24,4,3,0,0
human,6,3,1,1,0
ai,23,7,0,0,0
human,6,2,2,2,0
ai,26,9,10,1,0
human,3,1,0,1,0
ai,50,0,5,0,0
human,4,1,0,1,0
ai,25,5,0,5,0
human,1,1,0,1,0
ai,27,1,0,4,0
human,1,1,0,0,0
ai,35,5,0,0,0
human,2,1,1,1,0
ai,5,0,0,1,3
human,5,1,1,1,0
ai,40,9,6,0,0
human,13,1,1,1,0
ai,38,2,3,0,0
human,14,1,3,2,0
ai,37,4,4,4,1
human,3,1,0,1,0
ai,17,0,0,0,0
human,1,1,1,1,0
ai,30,3,3,7,0
human,1,1,0,0,0
ai,50,0,0,0,0
human,3,1,1,1,0
ai,43,5,8,5,0
human,12,1,2,1,0
ai,34,2,2,2,0
human,3,1,1,1,0
ai,12,0,0,0,0
human,1,1,0,0,0
ai,44,4,4,2,0
human,1,1,0,0,0
ai,27,0,0,0,0
human,1,1,1,1,0
ai,27,4,4,7,0
human,1,1,1,1,0
ai,26,4,4,4,0
human,6,3,2,1,0
ai,63,8,9,2,0
human,11,1,1,2,0
ai,26,4,2,1,0
human,3,1,0,0,0
ai,29,4,2,4,0
human,1,1,0,0,0
ai,27,4,0,1,1
human,5,1,1,1,0
ai,29,0,0,0,0
human,9,1,1,2,0
ai,38,0,0,0,0
human,9,1,1,1,0
ai,35,4,4,6,0
human,1,1,0,0,0
ai,23,4,3,6,6
human,15,4,4,2,0
ai,38,8,4,0,0
human,6,2,1,3,0
ai,38,2,0,0,3
human,1,1,0,0,0
ai,26,3,2,0,0
human,1,1,0,1,0
ai,23,3,0,3,0
human,5,2,1,2,0
ai,40,5,3,3,1
human,5,1,0,1,0
ai,27,4,3,1,0
human,1,1,0,0,0
ai,23,3,2,2,2
human,7,2,1,1,0
ai,39,10,10,0,0
human,5,2,1,0,0
ai,33,0,0,0,1
human,4,2,1,1,0
ai,65,5,5,0,0
human,4,1,0,1,0
ai,43,0,0,0,0
human,1,1,0,1,0
ai,28,9,0,6,0
human,1,1,1,1,0
ai,35,3,4,2,0
human,4,2,1,1,0
ai,37,5,3,3,0
human,1,1,0,0,0
ai,21,1,1,1,2
human,1,1,0,0,0
